순위,제목,장르1,장르2,장르3
1,王者荣耀,전략,,
2,原神,롤플레잉,,
3,哈利波特：魔法觉醒,전략,카드,
4,迷你世界,롤플레잉,,
5,植物大战僵尸,퍼즐,인디,
6,金铲铲之战,롤플레잉,,
7,我的世界,롤플레잉,어드벤처,
8,英雄联盟手游,액션,격투,
9,和平精英,액션,,
10,明日之后,액션,롤플레잉,
11,香肠派对,액션,,
12,三国杀,전략,카드,롤플레잉
13,梦幻西游,롤플레잉,,
14,五子棋,보드,전략,
15,光遇,롤플레잉,시뮬레이션,어드벤처
16,明日方舟,전략,카드,
17,洛克王国,전략,시뮬레이션,
18,阴阳师,롤플레잉,전략,
19,泰拉瑞亚,전략,오픈월드,
20,碧蓝航线,롤플레잉,시뮬레이션,
21,球球大作战,퍼즐,IO,
22,使命召唤,액션,,
23,第五人格,액션,롤플레잉,시뮬레이션
24,传说对决,전략,MOBA,
25,斗地主,보드,카드,
26,炉石传说,전략,,
27,元气骑士,롤플레잉,액션,
28,JJ斗地主,퍼즐,,
29,植物大战僵尸2,퍼즐,전략,
30,部落冲突,전략,,
31,罗布乐思,퍼즐,롤플레잉,시뮬레이션
32,崩坏3,롤플레잉,인디,
33,Taps,퍼즐,인디,
34,创造与魔法,롤플레잉,시뮬레이션,전략
35,欢乐斗地主(旗舰版),카드,,
36,奥奇传说,어드벤처,롤플레잉,퍼즐
37,造梦西游,액션,횡스크롤,
38,全民斗地主,보드,카드,
39,数独,퍼즐,脑力,
40,造梦西游4,액션,롤플레잉,
41,阿拉德之怒,액션,횡스크롤,
42,Phigros,음악,,
43,剑魂世界,롤플레잉,인디,
44,梦幻新诛仙,롤플레잉,인디,
45,密室逃脱10侦探风云,퍼즐,,
46,饥荒,전략,오픈월드,
47,奥拉星,전략,액션,
48,剧本杀,퍼즐,,
49,天龙八部,롤플레잉,액션,
50,QQ飞车,竞速,,
51,贪吃蛇大作战,퍼즐,액션,
52,热血江湖,롤플레잉,,
53,密室逃脱美妆学院,퍼즐,,
54,荒野乱斗,액션,,
55,万国觉醒,전략,,
56,周五夜放克,음악,舞蹈,
57,枪战英雄,액션,,
58,开心消消乐,0,,
59,江南百景图,전략,시뮬레이션,
60,生死狙击,액션,,
61,火柴人战争遗产,액션,,
62,节奏大师,음악,,
63,模拟人生4,전략,시뮬레이션,
64,皇室战争,전략,,
65,同城游上饶麻将,카드,,
66,决战！平安京,롤플레잉,전략,
67,地下城与勇士,액션,격투,어드벤처
68,火影忍者,격투,액션,어드벤처
69,造梦西游3,액션,횡스크롤,
70,天天象棋,보드,전략,
71,单机斗地主,카드,,
72,QQ炫舞,음악,,
73,战双帕弥什,롤플레잉,,
74,超级玛丽,퍼즐,인디,
75,烟雨江湖,롤플레잉,,
76,天涯明月刀,롤플레잉,,
77,侠盗世界,액션,,
78,神武4,롤플레잉,MMORPG,
79,大话西游,롤플레잉,전략,
